day,record_count
2020-10-27,3142
2020-10-26,3091
2020-10-25,5878
2020-10-24,4280
2020-10-23,3234
2020-10-22,2392
2020-10-21,2294
2020-10-20,3443
2020-10-19,3749
2020-10-18,6047
2020-10-17,5410
2020-10-16,4141
2020-10-15,3830
2020-10-14,3582
2020-10-13,3787
2020-10-12,4963
2020-10-11,9609
2020-10-10,6308
2020-10-09,5768
2020-10-08,4577
2020-10-07,3150
2020-10-06,3242
2020-10-05,4107
2020-10-04,7994
2020-10-03,4852
2020-10-02,4512
2020-10-01,4355
2020-09-30,3587
2020-09-29,3159
2020-09-28,3051
2020-09-27,5580
2020-09-26,3906
2020-09-25,2878
2020-09-24,3047
2020-09-23,3054
2020-09-22,4510
2020-09-21,4803
2020-09-20,9252
2020-09-19,6368
2020-09-18,3354
2020-09-17,2799
2020-09-16,3178
2020-09-15,4081
2020-09-14,4041
2020-09-13,6407
2020-09-12,3893
2020-09-11,1629
2020-09-10,2784
2020-09-09,3261
2020-09-08,3444
2020-09-07,3122
2020-09-06,4870
2020-09-05,3203
2020-09-04,2743
2020-09-03,2606
2020-09-02,2441
2020-09-01,2264
2020-08-31,1897
2020-08-30,2967
2020-08-29,2241
2020-08-28,1725
2020-08-27,1490
2020-08-26,1886
2020-08-25,1639
2020-08-24,1808
2020-08-23,2740
2020-08-22,2089
2020-08-21,2305
2020-08-20,1921
2020-08-19,1735
2020-08-18,1318
2020-08-17,913
2020-08-16,2544
